BlockType,TargetType,Stimulus,Stim_CRESP
Rec,newnegface,Stimuli/HM03_FO.bmp,New
Rec,oldposface,Stimuli/HF02_HO.bmp,New
Rec,oldnegface,Stimuli/43M_FO.bmp,Old
Rec,newplace,Stimuli/PL_001_92012.bmp,Old
Rec,newplace,Stimuli/PL_009_92037.bmp,New
Rec,oldneutface,Stimuli/LM211_NC.bmp,Old
Rec,oldposface,Stimuli/20M_HO.bmp,Old
Rec,newneutface,Stimuli/AM228_NC.bmp,New
Rec,newneutface,Stimuli/LF227_NC.bmp,Old
Rec,newposface,Stimuli/12F_HO.bmp,Old
Rec,oldnegface,Stimuli/AM05_FO.bmp,Old
Rec,oldplace,Stimuli/PL_040_LEXINGTON16.bmp,New
Rec,oldneutface,Stimuli/AF235_NC.bmp,Old
Rec,oldplace,Stimuli/PL_045_SCENE02.bmp,New
Rec,newnegface,Stimuli/9F_FO.bmp,New
Rec,newposface,Stimuli/34M_HO.bmp,New
Rec,newplace,Stimuli/PL_010_92038.bmp,New
Rec,oldplace,Stimuli/PL_048_SCENE05.bmp,New
Rec,oldposface,Stimuli/BF016_HO.bmp,Old
Rec,oldnegface,Stimuli/5F_FO.bmp,New
Rec,newposface,Stimuli/BF037_HO.bmp,New
Rec,newnegface,Stimuli/39M_FO.bmp,Old
Rec,newneutface,Stimuli/AF218_NC.bmp,Old
Rec,oldneutface,Stimuli/BM04_NC.bmp,Old
Rec,oldneutface,Stimuli/BF201_NC.bmp,New
Rec,oldnegface,Stimuli/BF10_FO.bmp,Old
Rec,oldplace,Stimuli/PL_046_SCENE03.bmp,New
Rec,newneutface,Stimuli/42M_NC.bmp,New
Rec,oldposface,Stimuli/BM06_HO.bmp,Old
Rec,newposface,Stimuli/WM011_HO.bmp,New
Rec,newnegface,Stimuli/WM004_FO.bmp,Old
Rec,newplace,Stimuli/PL_003_92016.bmp,Old
Rec,newneutface,Stimuli/7F_NC.bmp,Old
Rec,oldneutface,Stimuli/WF02_NC.bmp,Old
Rec,oldposface,Stimuli/WM01_HO.bmp,New
Rec,newnegface,Stimuli/BF003_FO.bmp,New
Rec,oldplace,Stimuli/PL_042_LEXINGTON18.bmp,New
Rec,newplace,Stimuli/PL_006_92025.bmp,Old
Rec,newplace,Stimuli/PL_007_92026.bmp,Old
Rec,oldnegface,Stimuli/WM003_FO.bmp,New
Rec,newneutface,Stimuli/BM03_NC.bmp,New
Rec,newposface,Stimuli/HF04_HO.bmp,Old
Rec,newposface,Stimuli/BM08_HO.bmp,New
Rec,oldneutface,Stimuli/AM210_NC.bmp,Old
Rec,oldnegface,Stimuli/16F_FO.bmp,Old
Rec,newnegface,Stimuli/10F_FO.bmp,New
Rec,oldplace,Stimuli/PL_043_LEXINGTON19.bmp,Old
Rec,oldposface,Stimuli/13F_HO.bmp,New
Rec,newplace,Stimuli/PL_060_TUFTS10BW.bmp,Old
Rec,newplace,Stimuli/PL_056_TUFTS02BW.bmp,New
Rec,oldneutface,Stimuli/BF03_NC.bmp,Old
Rec,newnegface,Stimuli/6F_FO.bmp,New
Rec,oldnegface,Stimuli/BF05_FO.bmp,Old
Rec,oldposface,Stimuli/BM01_HO.bmp,New
Rec,newneutface,Stimuli/41M_NC.bmp,Old
Rec,oldplace,Stimuli/PL_094_O6.1.bmp,New
Rec,newposface,Stimuli/BF07_HO.bmp,Old
Rec,newneutface,Stimuli/8F_NC.bmp,New
Rec,oldposface,Stimuli/31M_HO.bmp,New
Rec,oldnegface,Stimuli/38M_FO.bmp,New
Rec,oldnegface,Stimuli/AF01_FO.bmp,Old
Rec,newplace,Stimuli/PL_061_TUFTS11BW.bmp,Old
Rec,oldplace,Stimuli/PL_091_O5.1.bmp,Old
Rec,newnegface,Stimuli/WM033_FO.bmp,New
Rec,newneutface,Stimuli/AF219_NC.bmp,New
Rec,oldneutface,Stimuli/AM204_NC.bmp,New
Rec,newposface,Stimuli/HF03_HO.bmp,Old
Rec,oldposface,Stimuli/2F_HO.bmp,Old
Rec,oldplace,Stimuli/PL_093_O57.1.bmp,New
Rec,newposface,Stimuli/AM01_HO.bmp,Old
Rec,newnegface,Stimuli/37M_FO.bmp,New
Rec,oldneutface,Stimuli/LM242_NC.bmp,Old
Rec,newplace,Stimuli/PL_057_TUFTS06BW.bmp,New
Rec,oldposface,Stimuli/BF009_HO.bmp,New
Rec,newposface,Stimuli/18F_HO.bmp,New
Rec,oldnegface,Stimuli/WM03_FO.bmp,New
Rec,newnegface,Stimuli/WF015_FO.bmp,Old
Rec,oldneutface,Stimuli/30M_NC.bmp,Old
Rec,newneutface,Stimuli/BM07_NC.bmp,Old
Rec,oldplace,Stimuli/PL_100_O82.1.bmp,Old
Rec,newneutface,Stimuli/AF225_NC.bmp,Old
Rec,newplace,Stimuli/PL_053_SCENE15.bmp,Old
Rec,newposface,Stimuli/22M_HO.bmp,Old
Rec,oldplace,Stimuli/PL_096_O69.1.bmp,New
Rec,oldposface,Stimuli/AM02_HO.bmp,New
Rec,oldneutface,Stimuli/AF201_NC.bmp,New
Rec,oldneutface,Stimuli/LF207_NC.bmp,Old
Rec,newnegface,Stimuli/AM03_FO.bmp,New
Rec,newplace,Stimuli/PL_051_SCENE08.bmp,New
Rec,oldnegface,Stimuli/BM028_FO.bmp,Old
Rec,newposface,Stimuli/HM01_HO.bmp,Old
Rec,oldnegface,Stimuli/15F_FO.bmp,New
Rec,newnegface,Stimuli/BF023_FO.bmp,New
Rec,oldplace,Stimuli/PL_090_O47.1.bmp,New
Rec,newneutface,Stimuli/LM213_NC.bmp,Old
