BlockType,TargetType,Stimulus,Stim_CRESP
Rec,newneutface,Stimuli/AM210_NC.bmp,New
Rec,newplace,Stimuli/PL_041_LEXINGTON17.bmp,New
Rec,newplace,Stimuli/PL_043_LEXINGTON19.bmp,Old
Rec,newnegface,Stimuli/BM023_FO.bmp,Old
Rec,oldposface,Stimuli/45M_HO.bmp,New
Rec,oldplace,Stimuli/PL_003_92016.bmp,Old
Rec,oldnegface,Stimuli/HM05_FO.bmp,Old
Rec,oldneutface,Stimuli/LM207_NC.bmp,New
Rec,newposface,Stimuli/29M_HO.bmp,Old
Rec,oldneutface,Stimuli/7F_NC.bmp,Old
Rec,oldplace,Stimuli/PL_004_92023.bmp,Old
Rec,oldnegface,Stimuli/BF06_FO.bmp,New
Rec,newplace,Stimuli/PL_047_SCENE04.bmp,Old
Rec,oldposface,Stimuli/AF02_HO.bmp,New
Rec,newneutface,Stimuli/LF209_NC.bmp,New
Rec,newneutface,Stimuli/WF02_NC.bmp,New
Rec,newnegface,Stimuli/3F_FO.bmp,New
Rec,oldplace,Stimuli/PL_012_92047.bmp,New
Rec,newposface,Stimuli/13F_HO.bmp,Old
Rec,oldposface,Stimuli/HF04_HO.bmp,New
Rec,newplace,Stimuli/PL_044_SCENE01.bmp,New
Rec,newnegface,Stimuli/BF10_FO.bmp,Old
Rec,oldnegface,Stimuli/28M_FO.bmp,Old
Rec,oldneutface,Stimuli/BM03_NC.bmp,Old
Rec,newneutface,Stimuli/AF216_NC.bmp,New
Rec,newposface,Stimuli/19F_HO.bmp,Old
Rec,newnegface,Stimuli/WF034_FO.bmp,New
Rec,oldplace,Stimuli/PL_001_92012.bmp,New
Rec,oldneutface,Stimuli/42M_NC.bmp,Old
Rec,oldnegface,Stimuli/10F_FO.bmp,New
Rec,oldposface,Stimuli/BM08_HO.bmp,Old
Rec,newposface,Stimuli/HF02_HO.bmp,Old
Rec,newplace,Stimuli/PL_045_SCENE02.bmp,Old
Rec,newplace,Stimuli/PL_046_SCENE03.bmp,Old
Rec,oldnegface,Stimuli/17F_FO.bmp,New
Rec,newnegface,Stimuli/43M_FO.bmp,New
Rec,newneutface,Stimuli/BM04_NC.bmp,New
Rec,oldposface,Stimuli/WM011_HO.bmp,Old
Rec,oldplace,Stimuli/PL_011_92044.bmp,Old
Rec,oldneutface,Stimuli/LF227_NC.bmp,New
Rec,oldneutface,Stimuli/AM228_NC.bmp,New
Rec,oldposface,Stimuli/12F_HO.bmp,Old
Rec,oldplace,Stimuli/PL_009_92037.bmp,New
Rec,newposface,Stimuli/BM06_HO.bmp,Old
Rec,newposface,Stimuli/32M_HO.bmp,Old
Rec,newneutface,Stimuli/AM04_NC.bmp,New
Rec,newnegface,Stimuli/AM05_FO.bmp,Old
Rec,oldnegface,Stimuli/HM03_FO.bmp,New
Rec,oldposface,Stimuli/HM01_HO.bmp,Old
Rec,oldplace,Stimuli/PL_053_SCENE15.bmp,New
Rec,newneutface,Stimuli/WF223_NC.bmp,Old
Rec,newneutface,Stimuli/BF02_NC.bmp,New
Rec,newplace,Stimuli/PL_095_O65.1.bmp,Old
Rec,oldnegface,Stimuli/WF015_FO.bmp,New
Rec,newposface,Stimuli/AM02_HO.bmp,Old
Rec,oldneutface,Stimuli/AF219_NC.bmp,New
Rec,newnegface,Stimuli/15F_FO.bmp,Old
Rec,newplace,Stimuli/PL_099_O81.1.bmp,New
Rec,oldplace,Stimuli/PL_051_SCENE08.bmp,New
Rec,oldposface,Stimuli/18F_HO.bmp,New
Rec,newnegface,Stimuli/WM006_FO.bmp,Old
Rec,oldnegface,Stimuli/37M_FO.bmp,Old
Rec,newposface,Stimuli/BF009_HO.bmp,Old
Rec,oldneutface,Stimuli/21M_NC.bmp,New
Rec,oldplace,Stimuli/PL_061_TUFTS11BW.bmp,New
Rec,newplace,Stimuli/PL_091_O5.1.bmp,New
Rec,oldnegface,Stimuli/AF03_FO.bmp,Old
Rec,newnegface,Stimuli/WF04_FO.bmp,Old
Rec,oldneutface,Stimuli/AM245_NC.bmp,New
Rec,oldposface,Stimuli/HF03_HO.bmp,Old
Rec,newposface,Stimuli/BM009_HO.bmp,New
Rec,newneutface,Stimuli/27M_NC.bmp,Old
Rec,oldneutface,Stimuli/WF01_NC.bmp,New
Rec,newplace,Stimuli/PL_094_O6.1.bmp,New
Rec,oldposface,Stimuli/BM002_HO.bmp,New
Rec,newposface,Stimuli/36M_HO.bmp,New
Rec,newneutface,Stimuli/BF03_NC.bmp,Old
Rec,oldnegface,Stimuli/OM01_FO.bmp,Old
Rec,oldplace,Stimuli/PL_060_TUFTS10BW.bmp,Old
Rec,newnegface,Stimuli/38M_FO.bmp,Old
Rec,oldposface,Stimuli/BF005_HO.bmp,Old
Rec,oldnegface,Stimuli/BF04_FO.bmp,Old
Rec,newneutface,Stimuli/AM204_NC.bmp,Old
Rec,oldneutface,Stimuli/AF219_NC.bmp,New
Rec,newplace,Stimuli/PL_092_O50.1.bmp,New
Rec,newposface,Stimuli/HF05_HO.bmp,New
Rec,oldplace,Stimuli/PL_058_TUFTS07BW.bmp,Old
Rec,newnegface,Stimuli/40M_FO.bmp,New
Rec,newnegface,Stimuli/AF01_FO.bmp,New
Rec,oldposface,Stimuli/AM01_HO.bmp,Old
Rec,newplace,Stimuli/PL_073_P53.1.bmp,Old
Rec,newposface,Stimuli/WF05_HO.bmp,New
Rec,oldplace,Stimuli/PL_056_TUFTS02BW.bmp,New
Rec,oldnegface,Stimuli/WM033_FO.bmp,New
Rec,newneutface,Stimuli/LM242_NC.bmp,Old
Rec,oldneutface,Stimuli/LM216_NC.bmp,Old
