,ExperimentName,Subject,Session,Allowed,ConsecNonResp[Session],ConsecRTLess200[Session],DataFile.Basename,ExperimentVersion,FontStyle,Group,Handedness,Main.RefreshRate,NARGUID,Nontarget,RunNumber,RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionTime,StimuliDir,StudioVersion,SUBID,Target,TotalRespGreater200[Session],TrialsPerRun[Session],triggercode,Block,BlockType,Cue2Back.Duration,Cue2Back.FinishTime,Cue2Back.OffsetTime,Cue2Back.OnsetTime,Cue2Back.StartTime,CueFix.Duration,CueFix.FinishTime,CueFix.OffsetTime,CueFix.OnsetTime,CueFix.StartTime,CueTarget.Duration,CueTarget.FinishTime,CueTarget.OffsetTime,CueTarget.OnsetTime,CueTarget.StartTime,Fix.Duration,Fix.FinishTime,Fix.OffsetTime,Fix.OnsetTime,Fix.StartTime,Fix15sec.Duration,Fix15sec.FinishTime,Fix15sec.OffsetTime,Fix15sec.OnsetTime,Fix15sec.StartTime,Stim.ACC,Stim.CRESP,Stim.Duration,Stim.FinishTime,Stim.OffsetTime,Stim.OnsetTime,Stim.RESP,Stim.RT,Stim.RTTime,Stim.StartTime,StimType,Stimulus,TargetType
11,Emo_Nback_20180527,1,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",0,0,Emo_Nback_20180527_v1-ABCD1234,1.0.0.1180,Verdana,1,Right,60.1627173102,ABCD1234,"['2', 'num_2', 'right']",1,Professional,2.0.10.356,2.0.10.356,05/07/2018,23:23:39,Stimuli/,2.0.10.252,0,1,0,160,['space'],2.0,Cue0Back,,,,,,500.0,29795.0,29795.0,29324.0,29324.0,2500.0,32307.0,32306.0,29795.0,29795.0,,,,,,,,,,,,,,,,,,0.0,,,Faces,AF218_NC.bmp,target
12,Emo_Nback_20180527,1,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",0,0,Emo_Nback_20180527_v1-ABCD1234,1.0.0.1180,Verdana,1,Right,60.1627173102,ABCD1234,"['2', 'num_2', 'right']",1,Professional,2.0.10.356,2.0.10.356,05/07/2018,23:23:39,Stimuli/,2.0.10.252,0,1,0,160,['space'],2.0,0-Back,,,,,,,,,,,,,,,,500.0,34797.0,34797.0,34298.0,34298.0,,,,,,0.0,No Match,2000.0,34298.0,34298.0,32379.0,,0.0,0.0,32379.0,NeutFace,LF206_NC.bmp,nonlure
13,Emo_Nback_20180527,1,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",0,0,Emo_Nback_20180527_v1-ABCD1234,1.0.0.1180,Verdana,1,Right,60.1627173102,ABCD1234,"['2', 'num_2', 'right']",1,Professional,2.0.10.356,2.0.10.356,05/07/2018,23:23:39,Stimuli/,2.0.10.252,0,1,0,160,['space'],2.0,0-Back,,,,,,,,,,,,,,,,500.0,37292.0,37292.0,36804.0,36804.0,,,,,,0.0,Match,2000.0,36804.0,36804.0,34803.0,,0.0,0.0,34803.0,NeutFace,AF218_NC.bmp,target
14,Emo_Nback_20180527,1,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",0,0,Emo_Nback_20180527_v1-ABCD1234,1.0.0.1180,Verdana,1,Right,60.1627173102,ABCD1234,"['2', 'num_2', 'right']",1,Professional,2.0.10.356,2.0.10.356,05/07/2018,23:23:39,Stimuli/,2.0.10.252,0,1,0,160,['space'],2.0,0-Back,,,,,,,,,,,,,,,,500.0,39792.0,39792.0,39298.0,39297.0,,,,,,0.0,No Match,2000.0,39297.0,39297.0,37340.0,,0.0,0.0,37340.0,NeutFace,42M_NC.bmp,nonlure
15,Emo_Nback_20180527,1,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",0,0,Emo_Nback_20180527_v1-ABCD1234,1.0.0.1180,Verdana,1,Right,60.1627173102,ABCD1234,"['2', 'num_2', 'right']",1,Professional,2.0.10.356,2.0.10.356,05/07/2018,23:23:39,Stimuli/,2.0.10.252,0,1,0,160,['space'],2.0,0-Back,,,,,,,,,,,,,,,,500.0,42316.0,42316.0,41802.0,41802.0,,,,,,0.0,No Match,2000.0,41802.0,41802.0,39921.0,,0.0,0.0,39920.0,NeutFace,BM09_NC.bmp,nonlure
16,Emo_Nback_20180527,1,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",0,0,Emo_Nback_20180527_v1-ABCD1234,1.0.0.1180,Verdana,1,Right,60.1627173102,ABCD1234,"['2', 'num_2', 'right']",1,Professional,2.0.10.356,2.0.10.356,05/07/2018,23:23:39,Stimuli/,2.0.10.252,0,1,0,160,['space'],2.0,0-Back,,,,,,,,,,,,,,,,500.0,44794.0,44794.0,44292.0,44292.0,,,,,,0.0,No Match,2000.0,44292.0,44292.0,42323.0,,0.0,0.0,42322.0,NeutFace,BM09_NC.bmp,lure
17,Emo_Nback_20180527,1,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",0,0,Emo_Nback_20180527_v1-ABCD1234,1.0.0.1180,Verdana,1,Right,60.1627173102,ABCD1234,"['2', 'num_2', 'right']",1,Professional,2.0.10.356,2.0.10.356,05/07/2018,23:23:39,Stimuli/,2.0.10.252,0,1,0,160,['space'],2.0,0-Back,,,,,,,,,,,,,,,,500.0,47293.0,47293.0,46792.0,46792.0,,,,,,0.0,Match,2000.0,46792.0,46792.0,44813.0,,0.0,0.0,44813.0,NeutFace,AF218_NC.bmp,target
18,Emo_Nback_20180527,1,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",0,0,Emo_Nback_20180527_v1-ABCD1234,1.0.0.1180,Verdana,1,Right,60.1627173102,ABCD1234,"['2', 'num_2', 'right']",1,Professional,2.0.10.356,2.0.10.356,05/07/2018,23:23:39,Stimuli/,2.0.10.252,0,1,0,160,['space'],2.0,0-Back,,,,,,,,,,,,,,,,500.0,49793.0,49793.0,49294.0,49294.0,,,,,,0.0,No Match,2000.0,49294.0,49294.0,47314.0,,0.0,0.0,47314.0,NeutFace,7F_NC.bmp,nonlure
19,Emo_Nback_20180527,1,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",0,0,Emo_Nback_20180527_v1-ABCD1234,1.0.0.1180,Verdana,1,Right,60.1627173102,ABCD1234,"['2', 'num_2', 'right']",1,Professional,2.0.10.356,2.0.10.356,05/07/2018,23:23:39,Stimuli/,2.0.10.252,0,1,0,160,['space'],2.0,0-Back,,,,,,,,,,,,,,,,500.0,52292.0,52292.0,51793.0,51793.0,,,,,,0.0,No Match,2000.0,51793.0,51792.0,49799.0,,0.0,0.0,49799.0,NeutFace,7F_NC.bmp,lure
20,Emo_Nback_20180527,1,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",0,0,Emo_Nback_20180527_v1-ABCD1234,1.0.0.1180,Verdana,1,Right,60.1627173102,ABCD1234,"['2', 'num_2', 'right']",1,Professional,2.0.10.356,2.0.10.356,05/07/2018,23:23:39,Stimuli/,2.0.10.252,0,1,0,160,['space'],2.0,0-Back,,,,,,,,,,,,,,,,500.0,54792.0,54792.0,54296.0,54296.0,,,,,,0.0,No Match,2000.0,54296.0,54295.0,52333.0,,0.0,0.0,52332.0,NeutFace,42M_NC.bmp,lure
21,Emo_Nback_20180527,1,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",0,0,Emo_Nback_20180527_v1-ABCD1234,1.0.0.1180,Verdana,1,Right,60.1627173102,ABCD1234,"['2', 'num_2', 'right']",1,Professional,2.0.10.356,2.0.10.356,05/07/2018,23:23:39,Stimuli/,2.0.10.252,0,1,0,160,['space'],2.0,0-Back,,,,,,,,,,,,,,,,500.0,57294.0,57294.0,56792.0,56792.0,,,,,,0.0,No Match,2000.0,56792.0,56792.0,54816.0,,0.0,0.0,54816.0,NeutFace,LM207_NC.bmp,nonlure
22,Emo_Nback_20180527,1,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",0,0,Emo_Nback_20180527_v1-ABCD1234,1.0.0.1180,Verdana,1,Right,60.1627173102,ABCD1234,"['2', 'num_2', 'right']",1,Professional,2.0.10.356,2.0.10.356,05/07/2018,23:23:39,Stimuli/,2.0.10.252,0,1,0,160,['space'],None,Fix15secPROC,,,,,,,,,,,,,,,,,,,,,15000.0,72294.0,72294.0,57296.0,57296.0,,,,,,,escape,,,,None,None,None
