Stimulus,TargetType,BlockType,Trial_Number,Stim_CRESP,Faces0Back.thisRepN,Faces0Back.thisTrialN,Faces0Back.thisN,Faces0Back.thisIndex,Places0Back.thisRepN,Places0Back.thisTrialN,Places0Back.thisN,Places0Back.thisIndex,experimentTime,Stim.RESP,Stim.RT,Stim.CRESP,CueTarget.OnsetTime,CueTarget.OffsetTime,CueFix.FinishTime,CueTarget.StartTime,CueTarget.FinishTime,CueFix.StartTime,CueFix.OnsetTime,CueFix.OffsetTime,CueTarget.Duration,CueFix.Duration,Stim.ACC,Stim.StartTime,Stim.FinishTime,Stim.Duration,Stim.OnsetTime,Fix.StartTime,Stim.RTTime,Stim.OffsetTime,Fix.OnsetTime,Fix.Duration,Fix.OffsetTime,Fix.FinishTime,Allowed,DataFile.Basename,Group,Target,FontStyle,RunNumber,Handedness,NARGUID,SUBID,SessionDate,Version,SessionTime,RuntimeCapabilities,Clock.Information,date,RuntimeVersion,SessionStart,ExperimentName,TrialsPerRun[Session],Debugging,Run,ExperimentVersion,ConsecNonResp[Session],TotalRespGreater200[Session],Nontarget,StudioVersion,Session,RuntimeVersionExpected,ConsecRTLess200[Session],Goggles,StimuliDir,Time Point,Main.RefreshRate,Subject,
PracticeNC1.bmp,Faces,Cue0Back,1,Target,0,0,0,0,,,,,3.16119098663,,0,Target,4626,7126,4625,4625,7126,4115,4115,4625,2500,500,,,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/01/2018,1,13:56:15,Professional,0,2018-08-01_135615,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,59.694008545,1,
PracticeNC2.bmp,NeutFace,0Back,2,No Match,0,1,1,1,,,,,,,0,No Match,,,,,,,,,,,0,7132,9126,2000,7132,9126,0,9126,9126,500,9626,9626,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/01/2018,1,13:56:15,Professional,0,2018-08-01_135615,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,59.694008545,1,
PracticeNC1.bmp,NeutFace,0Back,3,Match,0,2,2,2,,,,,,,0,Match,,,,,,,,,,,0,11130,13127,2000,11130,13127,0,13126,13127,500,13626,13626,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/01/2018,1,13:56:15,Professional,0,2018-08-01_135615,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,59.694008545,1,
PracticeNC3.bmp,NeutFace,0Back,4,No Match,0,3,3,3,,,,,,,0,No Match,,,,,,,,,,,0,15131,17127,2000,15131,17127,0,17127,17127,500,17627,17627,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/01/2018,1,13:56:15,Professional,0,2018-08-01_135615,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,59.694008545,1,
PracticeNC2.bmp,NeutFace,0Back,5,No Match,0,4,4,4,,,,,,,0,No Match,,,,,,,,,,,0,19132,21128,2000,19132,21128,0,21128,21128,500,21627,21628,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/01/2018,1,13:56:15,Professional,0,2018-08-01_135615,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,59.694008545,1,
PracticeNC1.bmp,NeutFace,0Back,6,Match,0,5,5,5,,,,,,,0,Match,,,,,,,,,,,0,23130,25128,2000,23130,25128,0,25128,25129,500,25628,25628,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/01/2018,1,13:56:15,Professional,0,2018-08-01_135615,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,59.694008545,1,
Place1.bmp,Place,Cue0Back,1,Target,,,,,0,0,0,0,,,0,Target,28779,31279,28779,28779,31280,28268,28268,28779,2500,500,,,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/01/2018,1,13:56:15,Professional,0,2018-08-01_135615,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,59.694008545,1,
Place1.bmp,Place,0Back,2,Match,,,,,0,1,1,1,,,0,Match,,,,,,,,,,,0,31285,33280,2000,31285,33280,0,33280,33280,500,33779,33779,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/01/2018,1,13:56:15,Professional,0,2018-08-01_135615,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,59.694008545,1,
Place3.bmp,Place,0Back,3,No Match,,,,,0,2,2,2,,,0,No Match,,,,,,,,,,,0,35284,37280,2000,35284,37280,0,37280,37280,500,37780,37780,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/01/2018,1,13:56:15,Professional,0,2018-08-01_135615,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,59.694008545,1,
Place5.bmp,Place,0Back,4,No Match,,,,,0,3,3,3,,,0,No Match,,,,,,,,,,,0,39284,41281,2000,39285,41281,0,41281,41281,500,41781,41781,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/01/2018,1,13:56:15,Professional,0,2018-08-01_135615,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,59.694008545,1,
Place1.bmp,Place,0Back,5,Match,,,,,0,4,4,4,,,0,Match,,,,,,,,,,,0,43285,45282,2000,43285,45282,0,45281,45282,500,45781,45781,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/01/2018,1,13:56:15,Professional,0,2018-08-01_135615,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,59.694008545,1,
Place3.bmp,Place,0Back,6,No Match,,,,,0,5,5,5,,,0,No Match,,,,,,,,,,,0,47286,49265,2000,47286,49265,0,49265,49265,500,49782,49782,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/01/2018,1,13:56:15,Professional,0,2018-08-01_135615,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,59.694008545,1,
