TargetType,Run,Stimulus,RunTrialNumber_Block,StimType,BlockType,Stim_CRESP,Block,nBack.thisRepN,nBack.thisTrialN,nBack.thisN,nBack.thisIndex,Stim.RESP,Stim.RT,Stim.CRESP,CueFix.FinishTime,Cue2Back.StartTime,Cue2Back.FinishTime,Cue2Back.OffsetTime,CueFix.StartTime,CueFix.OnsetTime,CueFix.OffsetTime,Cue2Back.Duration,Cue2Back.OnsetTime,CueFix.Duration,Stim.ACC,Stim.StartTime,Stim.FinishTime,Stim.Duration,Stim.OnsetTime,Fix.StartTime,Stim.RTTime,Stim.OffsetTime,Fix.OnsetTime,Fix.Duration,Fix.OffsetTime,Fix.FinishTime,CueTarget.OnsetTime,CueTarget.OffsetTime,CueTarget.StartTime,CueTarget.FinishTime,CueTarget.Duration,Fix15sec.OnsetTime,Fix15sec.Duration,Fix15sec.FinishTime,Fix15sec.StartTime,Fix15sec.OffsetTime,Allowed,DataFile.Basename,Group,Target,FontStyle,RunNumber,Handedness,NARGUID,SUBID,triggercode,SessionDate,Version,SessionTime,RuntimeCapabilities,Clock.Information,date,RuntimeVersion,SessionStart,ExperimentName,TrialsPerRun[Session],Debugging,Run,ExperimentVersion,ConsecNonResp[Session],TotalRespGreater200[Session],Nontarget,StudioVersion,Session,RuntimeVersionExpected,ConsecRTLess200[Session],Goggles,StimuliDir,Time Point,Main.RefreshRate,Subject,
"",All,"","",Faces,Cue2Back,"",1.0,0,0,0,0,,0,"",46028,46028,48527,48527,45517,45517,46028,2500,46028,500,,,,,,,,,,,,,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
nonlure,All,23M_HO.bmp,2,PosFace,2-Back,No Match,1.0,0,1,1,1,,0,No Match,,,,,,,,,,,0,48536,50528,2000,48536,50528,0,50528,50528,500,51028,51028,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
nonlure,All,12F_HO.bmp,3,PosFace,2-Back,No Match,1.0,0,2,2,2,,0,No Match,,,,,,,,,,,0,51037,53028,2000,51038,53028,0,53028,53029,500,53528,53528,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
nonlure,All,AF02_HO.bmp,4,PosFace,2-Back,No Match,1.0,0,3,3,3,,0,No Match,,,,,,,,,,,0,53538,55528,2000,53539,55528,0,55528,55528,500,56029,56029,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
target,All,12F_HO.bmp,5,PosFace,2-Back,Match,1.0,0,4,4,4,,0,Match,,,,,,,,,,,0,56034,58029,2000,56034,58029,0,58029,58029,500,58529,58529,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
nonlure,All,WM011_HO.bmp,6,PosFace,2-Back,No Match,1.0,0,5,5,5,,0,No Match,,,,,,,,,,,0,58538,60529,2000,58538,60529,0,60529,60529,500,61029,61029,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
nonlure,All,HM04_HO.bmp,7,PosFace,2-Back,No Match,1.0,0,6,6,6,,0,No Match,,,,,,,,,,,0,61037,63030,2000,61037,63030,0,63030,63030,500,63530,63530,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
lure,All,AF02_HO.bmp,8,PosFace,2-Back,No Match,1.0,0,7,7,7,,0,No Match,,,,,,,,,,,0,63535,65529,2000,63536,65529,0,65529,65530,500,66030,66030,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
nonlure,All,BF037_HO.bmp,9,PosFace,2-Back,No Match,1.0,0,8,8,8,,0,No Match,,,,,,,,,,,0,66039,68014,2000,66039,68014,0,68013,68014,500,68514,68514,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
lure,All,WM011_HO.bmp,10,PosFace,2-Back,No Match,1.0,0,9,9,9,,0,No Match,,,,,,,,,,,0,68518,70514,2000,68518,70514,0,70513,70514,500,71014,71014,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
