TargetType,Run,Stimulus,RunTrialNumber_Block,StimType,BlockType,Stim_CRESP,Block,nBack.thisRepN,nBack.thisTrialN,nBack.thisN,nBack.thisIndex,Stim.RESP,Stim.RT,Stim.CRESP,CueFix.FinishTime,Cue2Back.StartTime,Cue2Back.FinishTime,Cue2Back.OffsetTime,CueFix.StartTime,CueFix.OnsetTime,CueFix.OffsetTime,Cue2Back.Duration,Cue2Back.OnsetTime,CueFix.Duration,Stim.ACC,Stim.StartTime,Stim.FinishTime,Stim.Duration,Stim.OnsetTime,Fix.StartTime,Stim.RTTime,Stim.OffsetTime,Fix.OnsetTime,Fix.Duration,Fix.OffsetTime,Fix.FinishTime,CueTarget.OnsetTime,CueTarget.OffsetTime,CueTarget.StartTime,CueTarget.FinishTime,CueTarget.Duration,Fix15sec.OnsetTime,Fix15sec.Duration,Fix15sec.FinishTime,Fix15sec.StartTime,Fix15sec.OffsetTime,FontStyle,Group,Handedness,NARGUID,SUBID,triggercode,TotalRespGreater200[Session],Version,SessionTime,RuntimeCapabilities,SessionStart,Run,ConsecNonResp[Session],StudioVersion,ExperimentName,ConsecRTLess200[Session],SessionDate,Main.RefreshRate,DataFile.Basename,Target,RunNumber,Nontarget,date,RuntimeVersionExpected,Debugging,ExperimentVersion,RuntimeVersion,TrialsPerRun[Session],Session,Allowed,StimuliDir,Subject,
target,All,BF037_HO.bmp,11,PosFace,2-Back,Match,1.0,0,10,10,10,,0,Match,,,,,,,,,,,0,27700,29707,2000,27701,29707,0,29707,29707,500,30205,30205,,,,,,,,,,,Verdana,1,Right,ABCD1234,0,['space'],0,1,23:21:24,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,05/07/2018,59.9872711488,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",2018-05-07_232124,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
target,All,AF218_NC.bmp,None,Faces,Cue0Back,None,2.0,0,11,11,11,,0,,30704,,,,30211,30211,30704,,,500,,,,,,,,,,,,,30705,33197,30704,33198,2500,,,,,,Verdana,1,Right,ABCD1234,0,['space'],0,1,23:21:24,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,05/07/2018,59.9872711488,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",2018-05-07_232124,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
nonlure,All,LF206_NC.bmp,12,NeutFace,0-Back,No Match,2.0,0,12,12,12,,0,No Match,,,,,,,,,,,0,33204,35193,2000,33204,35193,0,35193,35193,500,35691,35691,,,,,,,,,,,Verdana,1,Right,ABCD1234,0,['space'],0,1,23:21:24,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,05/07/2018,59.9872711488,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",2018-05-07_232124,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
target,All,AF218_NC.bmp,13,NeutFace,0-Back,Match,2.0,0,13,13,13,,0,Match,,,,,,,,,,,0,35697,37704,2000,35697,37704,0,37703,37704,500,38202,38202,,,,,,,,,,,Verdana,1,Right,ABCD1234,0,['space'],0,1,23:21:24,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,05/07/2018,59.9872711488,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",2018-05-07_232124,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
nonlure,All,42M_NC.bmp,14,NeutFace,0-Back,No Match,2.0,0,14,14,14,,0,No Match,,,,,,,,,,,0,38208,40198,2000,38209,40198,0,40198,40198,500,40696,40696,,,,,,,,,,,Verdana,1,Right,ABCD1234,0,['space'],0,1,23:21:24,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,05/07/2018,59.9872711488,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",2018-05-07_232124,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
nonlure,All,BM09_NC.bmp,15,NeutFace,0-Back,No Match,2.0,0,15,15,15,,0,No Match,,,,,,,,,,,0,40702,42692,2000,40703,42692,0,42692,42692,500,43190,43190,,,,,,,,,,,Verdana,1,Right,ABCD1234,0,['space'],0,1,23:21:24,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,05/07/2018,59.9872711488,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",2018-05-07_232124,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
lure,All,BM09_NC.bmp,16,NeutFace,0-Back,No Match,2.0,0,16,16,16,,0,No Match,,,,,,,,,,,0,43196,45203,2000,43197,45203,0,45203,45204,500,45701,45701,,,,,,,,,,,Verdana,1,Right,ABCD1234,0,['space'],0,1,23:21:24,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,05/07/2018,59.9872711488,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",2018-05-07_232124,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
target,All,AF218_NC.bmp,17,NeutFace,0-Back,Match,2.0,0,17,17,17,,0,Match,,,,,,,,,,,0,45708,47697,2000,45708,47697,0,47697,47697,500,48195,48195,,,,,,,,,,,Verdana,1,Right,ABCD1234,0,['space'],0,1,23:21:24,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,05/07/2018,59.9872711488,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",2018-05-07_232124,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
nonlure,All,7F_NC.bmp,18,NeutFace,0-Back,No Match,2.0,0,18,18,18,,0,No Match,,,,,,,,,,,0,48203,50191,2000,48203,50191,0,50190,50191,500,50705,50705,,,,,,,,,,,Verdana,1,Right,ABCD1234,0,['space'],0,1,23:21:24,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,05/07/2018,59.9872711488,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",2018-05-07_232124,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
lure,All,7F_NC.bmp,19,NeutFace,0-Back,No Match,2.0,0,19,19,19,,0,No Match,,,,,,,,,,,0,50713,52702,2000,50713,52702,0,52702,52702,500,53200,53200,,,,,,,,,,,Verdana,1,Right,ABCD1234,0,['space'],0,1,23:21:24,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,05/07/2018,59.9872711488,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",2018-05-07_232124,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
lure,All,42M_NC.bmp,20,NeutFace,0-Back,No Match,2.0,0,20,20,20,,0,No Match,,,,,,,,,,,0,53206,55196,2000,53206,55196,0,55195,55196,500,55694,55694,,,,,,,,,,,Verdana,1,Right,ABCD1234,0,['space'],0,1,23:21:24,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,05/07/2018,59.9872711488,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",2018-05-07_232124,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
nonlure,All,LM207_NC.bmp,21,NeutFace,0-Back,No Match,2.0,0,21,21,21,,0,No Match,,,,,,,,,,,0,55700,57690,2000,55700,57690,0,57690,57690,500,58205,58205,,,,,,,,,,,Verdana,1,Right,ABCD1234,0,['space'],0,1,23:21:24,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,05/07/2018,59.9872711488,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",2018-05-07_232124,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
None,All,None,None,None,Fix15secPROC,None,None,0,22,22,22,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58208,15000,73202,58208,73202,Verdana,1,Right,ABCD1234,0,['space'],0,1,23:21:24,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,05/07/2018,59.9872711488,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",2018-05-07_232124,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
None,All,None,None,Faces,Cue2Back,None,3.0,0,23,23,23,,0,,73701,73701,76195,76195,73209,73209,73701,2500,73701,500,,,,,,,,,,,,,,,,,,,,,,,Verdana,1,Right,ABCD1234,0,['space'],0,1,23:21:24,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,05/07/2018,59.9872711488,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",2018-05-07_232124,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
nonlure,All,17F_FO.bmp,22,NegFace,2-Back,No Match,3.0,0,24,24,24,,0,No Match,,,,,,,,,,,0,76201,78191,2000,76202,78191,0,78191,78191,500,78706,78706,,,,,,,,,,,Verdana,1,Right,ABCD1234,0,['space'],0,1,23:21:24,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,05/07/2018,59.9872711488,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",2018-05-07_232124,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
nonlure,All,HM03_FO.bmp,23,NegFace,2-Back,No Match,3.0,0,25,25,25,,0,No Match,,,,,,,,,,,0,78714,80701,2000,78714,80701,0,80701,80701,500,81199,81199,,,,,,,,,,,Verdana,1,Right,ABCD1234,0,['space'],0,1,23:21:24,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,05/07/2018,59.9872711488,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",2018-05-07_232124,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
nonlure,All,BM045_FO.bmp,24,NegFace,2-Back,No Match,3.0,0,26,26,26,escape,,No Match,,,,,,,,,,,0,81206,83195,2000,81207,83195,81983,83195,83195,500,83694,83694,,,,,,,,,,,Verdana,1,Right,ABCD1234,0,['space'],0,1,23:21:24,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,05/07/2018,59.9872711488,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",2018-05-07_232124,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Behavioral,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
