Stimulus,TargetType,BlockType,Trial_Number,Stim_CRESP,Faces0Back.thisRepN,Faces0Back.thisTrialN,Faces0Back.thisN,Faces0Back.thisIndex,Places0Back.thisRepN,Places0Back.thisTrialN,Places0Back.thisN,Places0Back.thisIndex,Faces2Back.thisRepN,Faces2Back.thisTrialN,Faces2Back.thisN,Faces2Back.thisIndex,Places2Back.thisRepN,Places2Back.thisTrialN,Places2Back.thisN,Places2Back.thisIndex,FinalPractice.thisRepN,FinalPractice.thisTrialN,FinalPractice.thisN,FinalPractice.thisIndex,experimentTime,Stim.RESP,Stim.RT,Stim.CRESP,CueTarget.OnsetTime,CueTarget.OffsetTime,CueFix.FinishTime,CueTarget.StartTime,CueTarget.FinishTime,CueFix.StartTime,CueFix.OnsetTime,CueFix.OffsetTime,CueTarget.Duration,CueFix.Duration,Stim.ACC,Stim.StartTime,Stim.FinishTime,Stim.Duration,Stim.OnsetTime,Fix.StartTime,Stim.RTTime,Stim.OffsetTime,Fix.OnsetTime,Fix.Duration,Fix.OffsetTime,Fix.FinishTime,Cue2Back.StartTime,Cue2Back.FinishTime,Cue2Back.OffsetTime,Cue2Back.Duration,Cue2Back.OnsetTime,FontStyle,Group,Handedness,NARGUID,SUBID,TotalRespGreater200[Session],Version,SessionTime,RuntimeCapabilities,SessionStart,Run,ConsecNonResp[Session],StudioVersion,ExperimentName,ConsecRTLess200[Session],SessionDate,Main.RefreshRate,DataFile.Basename,Target,RunNumber,Nontarget,Clock.Information,date,RuntimeVersionExpected,Debugging,ExperimentVersion,RuntimeVersion,TrialsPerRun[Session],Session,Allowed,StimuliDir,Subject,
Place1.bmp,Place,0Back,5,Match,,,,,0,4,4,4,,,,,,,,,,,,,,1,716,Match,,,,,,,,,,,1,50538,52535,2000,50538,52535,51269,52535,52535,500,53036,53036,,,,,,Verdana,1,Right,ABCD1234,0,0,1,17:24:04,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,06/25/2018,59.7364324524,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",0,2018-06-25_172404,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Practice,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
Place3.bmp,Place,0Back,6,No Match,,,,,0,5,5,5,,,,,,,,,,,,,,2,981,No Match,,,,,,,,,,,1,54539,56535,2000,54539,56535,55521,56535,56535,500,57036,57036,,,,,,Verdana,1,Right,ABCD1234,0,0,1,17:24:04,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,06/25/2018,59.7364324524,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",0,2018-06-25_172404,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Practice,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
Stimuli/PracticeFO2.bmp,NegFace,2Back,1,No Match,,,,,,,,,0,0,0,0,,,,,,,,,,2,1381,No Match,,,,,,,,,,,1,99628,101642,2000,99628,101642,101011,101642,101642,500,102142,102142,,,,,,Verdana,1,Right,ABCD1234,0,0,1,17:24:04,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,06/25/2018,59.7364324524,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",0,2018-06-25_172404,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Practice,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
Stimuli/PracticeFO4.bmp,NegFace,2Back,2,No Match,,,,,,,,,0,1,1,1,,,,,,,,,,2,992,No Match,,,,,,,,,,,1,103635,105626,2000,103635,105626,104628,105626,105626,500,106126,106126,,,,,,Verdana,1,Right,ABCD1234,0,0,1,17:24:04,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,06/25/2018,59.7364324524,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",0,2018-06-25_172404,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Practice,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
Stimuli/PracticeFO2.bmp,NegFace,2Back,3,Match,,,,,,,,,0,2,2,2,,,,,,,,,,1,797,Match,,,,,,,,,,,1,107631,109626,2000,107631,109626,108429,109626,109626,500,110126,110126,,,,,,Verdana,1,Right,ABCD1234,0,0,1,17:24:04,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,06/25/2018,59.7364324524,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",0,2018-06-25_172404,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Practice,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
Stimuli/PracticeFO4.bmp,NegFace,2Back,4,Match,,,,,,,,,0,3,3,3,,,,,,,,,,1,1614,Match,,,,,,,,,,,1,111631,113627,2000,111632,113627,113246,113627,113627,500,114127,114127,,,,,,Verdana,1,Right,ABCD1234,0,0,1,17:24:04,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,06/25/2018,59.7364324524,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",0,2018-06-25_172404,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Practice,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
Stimuli/PracticeFO1.bmp,NegFace,2Back,5,No Match,,,,,,,,,0,4,4,4,,,,,,,,,,2,847,No Match,,,,,,,,,,,1,115631,117627,2000,115631,117627,116479,117627,117627,500,118127,118127,,,,,,Verdana,1,Right,ABCD1234,0,0,1,17:24:04,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,06/25/2018,59.7364324524,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",0,2018-06-25_172404,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Practice,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
Stimuli/Place1.bmp,Place,2Back,1,No Match,,,,,,,,,,,,,0,0,0,0,,,,,,,0,No Match,,,,,,,,,,,0,120670,122678,2000,120671,122678,0,122678,122678,500,123178,123178,,,,,,Verdana,1,Right,ABCD1234,0,0,1,17:24:04,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,06/25/2018,59.7364324524,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",0,2018-06-25_172404,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Practice,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
Stimuli/Place5.bmp,Place,2Back,2,No Match,,,,,,,,,,,,,0,1,1,1,,,,,,2,715,No Match,,,,,,,,,,,1,124682,126679,2000,124682,126679,125398,126679,126679,500,127179,127179,,,,,,Verdana,1,Right,ABCD1234,0,0,1,17:24:04,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,06/25/2018,59.7364324524,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",0,2018-06-25_172404,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Practice,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
Stimuli/Place1.bmp,Place,2Back,3,Match,,,,,,,,,,,,,0,2,2,2,,,,,,1,1365,Match,,,,,,,,,,,1,128684,130679,2000,128684,130679,130062,130679,130679,500,131179,131179,,,,,,Verdana,1,Right,ABCD1234,0,0,1,17:24:04,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,06/25/2018,59.7364324524,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",0,2018-06-25_172404,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Practice,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
Stimuli/Place6.bmp,Place,2Back,4,No Match,,,,,,,,,,,,,0,3,3,3,,,,,,2,942,No Match,,,,,,,,,,,1,132688,134679,2000,132689,134679,133632,134679,134680,500,135180,135180,,,,,,Verdana,1,Right,ABCD1234,0,0,1,17:24:04,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,06/25/2018,59.7364324524,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",0,2018-06-25_172404,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Practice,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
Stimuli/Place1.bmp,Place,2Back,5,Match,,,,,,,,,,,,,0,4,4,4,,,,,,2,1179,Match,,,,,,,,,,,0,136685,138680,2000,136685,138680,137865,138680,138680,500,139181,139181,,,,,,Verdana,1,Right,ABCD1234,0,0,1,17:24:04,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,06/25/2018,59.7364324524,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",0,2018-06-25_172404,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Practice,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
None,None,Cue2Back,None,None,,,,,,,,,,,,,,,,,0,0,0,0,,,0,,,,146765,,,146265,146265,146765,,500,,,,,,,,,,,,,146765,149265,149265,2500,146765,Verdana,1,Right,ABCD1234,0,0,1,17:24:04,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,06/25/2018,59.7364324524,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",0,2018-06-25_172404,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Practice,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
Stimuli/PracticeHO1.bmp,PosFace,2Back,1.0,No Match,,,,,,,,,,,,,,,,,0,1,1,1,,2,942,No Match,,,,,,,,,,,1,149275,151265,2000,149275,151265,150217,151265,151265,500,151766,151766,,,,,,Verdana,1,Right,ABCD1234,0,0,1,17:24:04,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,06/25/2018,59.7364324524,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",0,2018-06-25_172404,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Practice,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
Stimuli/PracticeHO2.bmp,PosFace,2Back,2.0,No Match,,,,,,,,,,,,,,,,,0,2,2,2,,2,977,No Match,,,,,,,,,,,1,153274,155266,2000,153275,155266,154266,155266,155266,500,155766,155766,,,,,,Verdana,1,Right,ABCD1234,0,0,1,17:24:04,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,06/25/2018,59.7364324524,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",0,2018-06-25_172404,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Practice,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
Stimuli/PracticeHO3.bmp,PosFace,2Back,3.0,No Match,,,,,,,,,,,,,,,,,0,3,3,3,,2,727,No Match,,,,,,,,,,,1,157274,159267,2000,157274,159267,158002,159267,159267,500,159767,159767,,,,,,Verdana,1,Right,ABCD1234,0,0,1,17:24:04,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,06/25/2018,59.7364324524,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",0,2018-06-25_172404,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Practice,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
Stimuli/PracticeHO2.bmp,PosFace,2Back,4.0,Match,,,,,,,,,,,,,,,,,0,4,4,4,,1,900,Match,,,,,,,,,,,1,161269,163267,2000,161269,163267,162170,163267,163267,500,163767,163767,,,,,,Verdana,1,Right,ABCD1234,0,0,1,17:24:04,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,06/25/2018,59.7364324524,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",0,2018-06-25_172404,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Practice,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
Stimuli/Place3.bmp,Place,Cue0Back,None,Target,,,,,,,,,,,,,,,,,0,5,5,5,,,0,Target,165769,168268,165768,165768,168268,165271,165271,165768,2500,500,,,,,,,,,,,,,,,,,,Verdana,1,Right,ABCD1234,0,0,1,17:24:04,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,06/25/2018,59.7364324524,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",0,2018-06-25_172404,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Practice,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
Stimuli/Place5.bmp,Place,0Back,5.0,No Match,,,,,,,,,,,,,,,,,0,6,6,6,,2,830,No Match,,,,,,,,,,,1,168273,170268,2000,168273,170268,169104,170268,170268,500,170768,170768,,,,,,Verdana,1,Right,ABCD1234,0,0,1,17:24:04,Professional,,All,0,2.0.10.252,Emo_Nback_20180527,0,06/25/2018,59.7364324524,Emo_Nback_20180527_v1-ABCD1234,1,1,"['2', 'num_2', 'right']",0,2018-06-25_172404,2.0.10.356,True,1.0.0.1180,2.0.10.356,160,Practice,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Stimuli/,1,
