Stimulus,TargetType,BlockType,Trial_Number,Stim_CRESP,Faces0Back.thisRepN,Faces0Back.thisTrialN,Faces0Back.thisN,Faces0Back.thisIndex,experimentTime,Stim.RESP,Stim.RT,Stim.CRESP,CueTarget.OnsetTime,CueTarget.OffsetTime,CueFix.FinishTime,CueTarget.StartTime,CueTarget.FinishTime,CueFix.StartTime,CueFix.OnsetTime,CueFix.OffsetTime,CueTarget.Duration,CueFix.Duration,Stim.ACC,Stim.StartTime,Stim.FinishTime,Stim.Duration,Stim.OnsetTime,Fix.StartTime,Stim.RTTime,Stim.OffsetTime,Fix.OnsetTime,Fix.Duration,Fix.OffsetTime,Fix.FinishTime,Allowed,DataFile.Basename,Group,Target,FontStyle,RunNumber,Handedness,NARGUID,SUBID,SessionDate,Version,SessionTime,RuntimeCapabilities,Clock.Information,date,RuntimeVersion,SessionStart,ExperimentName,TrialsPerRun[Session],Debugging,Run,ExperimentVersion,ConsecNonResp[Session],TotalRespGreater200[Session],Nontarget,StudioVersion,Session,RuntimeVersionExpected,ConsecRTLess200[Session],Goggles,StimuliDir,Time Point,Main.RefreshRate,Subject,
PracticeNC1.bmp,Faces,Cue0Back,1,Target,0,0,0,0,9.33339905739,,0,Target,10763,13262,10762,10762,13263,10257,10257,10762,2500,500,,,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/01/2018,1,11:18:20,Professional,0,2018-08-01_111820,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,60.0034906511,1,
PracticeNC2.bmp,NeutFace,0Back,2,No Match,0,1,1,1,,right,691,No Match,,,,,,,,,,,1,13272,15263,2000,13272,15263,13964,15263,15263,500,15763,15763,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/01/2018,1,11:18:20,Professional,0,2018-08-01_111820,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,60.0034906511,1,
PracticeNC1.bmp,NeutFace,0Back,3,Match,0,2,2,2,,,0,Match,,,,,,,,,,,0,17267,19256,2000,17268,19256,0,19256,19256,500,19773,19773,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/01/2018,1,11:18:20,Professional,0,2018-08-01_111820,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,60.0034906511,1,
PracticeNC3.bmp,NeutFace,0Back,4,No Match,0,3,3,3,,escape,,No Match,,,,,,,,,,,0,21270,23264,2000,21270,23264,22265,23264,23264,500,23763,23763,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/01/2018,1,11:18:20,Professional,0,2018-08-01_111820,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,60.0034906511,1,
