TargetType,Run,Stimulus,RunTrialNumber_Block,StimType,BlockType,Stim_CRESP,Block,nBack.thisRepN,nBack.thisTrialN,nBack.thisN,nBack.thisIndex,Stim.RESP,Stim.RT,Stim.CRESP,CueFix.FinishTime,Cue2Back.StartTime,Cue2Back.FinishTime,Cue2Back.OffsetTime,CueFix.StartTime,CueFix.OnsetTime,CueFix.OffsetTime,Cue2Back.Duration,Cue2Back.OnsetTime,CueFix.Duration,Stim.ACC,Stim.StartTime,Stim.FinishTime,Stim.Duration,Stim.OnsetTime,Fix.StartTime,Stim.RTTime,Stim.OffsetTime,Fix.OnsetTime,Fix.Duration,Fix.OffsetTime,Fix.FinishTime,CueTarget.OnsetTime,CueTarget.OffsetTime,CueTarget.StartTime,CueTarget.FinishTime,CueTarget.Duration,Fix15sec.OnsetTime,Fix15sec.Duration,Fix15sec.FinishTime,Fix15sec.StartTime,Fix15sec.OffsetTime,Allowed,DataFile.Basename,Group,Target,FontStyle,RunNumber,Handedness,NARGUID,SUBID,triggercode,SessionDate,Version,SessionTime,RuntimeCapabilities,Clock.Information,date,RuntimeVersion,SessionStart,ExperimentName,TrialsPerRun[Session],Debugging,Run,ExperimentVersion,ConsecNonResp[Session],TotalRespGreater200[Session],Nontarget,StudioVersion,Session,RuntimeVersionExpected,ConsecRTLess200[Session],Goggles,StimuliDir,Time Point,Main.RefreshRate,Subject,
nonlure,All,HM03_FO.bmp,23,NegFace,2-Back,No Match,3.0,0,25,25,25,,0,No Match,,,,,,,,,,,0,87947,89940,2000,87947,89940,0,89940,89940,500,90439,90439,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,17:24:02,Professional,0,2018-08-09_172402,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9383225917,1,
nonlure,All,BM045_FO.bmp,24,NegFace,2-Back,No Match,3.0,0,26,26,26,,0,No Match,,,,,,,,,,,0,90448,92439,2000,90448,92439,0,92439,92439,500,92939,92940,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,17:24:02,Professional,0,2018-08-09_172402,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9383225917,1,
target,All,HM03_FO.bmp,25,NegFace,2-Back,Match,3.0,0,27,27,27,,0,Match,,,,,,,,,,,0,92945,94941,2000,92945,94941,0,94940,94941,500,95439,95439,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,17:24:02,Professional,0,2018-08-09_172402,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9383225917,1,
lure,All,17F_FO.bmp,26,NegFace,2-Back,No Match,3.0,0,28,28,28,,0,No Match,,,,,,,,,,,0,95445,97441,2000,95445,97441,0,97440,97441,500,97940,97940,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,17:24:02,Professional,0,2018-08-09_172402,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9383225917,1,
lure,All,BM045_FO.bmp,27,NegFace,2-Back,No Match,3.0,0,29,29,29,,0,No Match,,,,,,,,,,,0,97946,99941,2000,97946,99941,0,99941,99941,500,100440,100440,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,17:24:02,Professional,0,2018-08-09_172402,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9383225917,1,
nonlure,All,9F_FO.bmp,28,NegFace,2-Back,No Match,3.0,0,30,30,30,,0,No Match,,,,,,,,,,,0,100450,102441,2000,100451,102441,0,102441,102441,500,102941,102941,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,17:24:02,Professional,0,2018-08-09_172402,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9383225917,1,
nonlure,All,WM004_FO.bmp,29,NegFace,2-Back,No Match,3.0,0,31,31,31,,0,No Match,,,,,,,,,,,0,102950,104942,2000,102950,104942,0,104942,104942,500,105441,105441,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,17:24:02,Professional,0,2018-08-09_172402,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9383225917,1,
target,All,9F_FO.bmp,30,NegFace,2-Back,Match,3.0,0,32,32,32,,0,Match,,,,,,,,,,,0,105446,107426,2000,105447,107426,0,107426,107426,500,107941,107941,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,17:24:02,Professional,0,2018-08-09_172402,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9383225917,1,
nonlure,All,BF06_FO.bmp,31,NegFace,2-Back,No Match,3.0,0,33,33,33,,0,No Match,,,,,,,,,,,0,107948,109926,2000,107949,109926,0,109926,109926,500,110425,110425,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,17:24:02,Professional,0,2018-08-09_172402,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9383225917,1,
target,All,34M_HO.bmp,None,Faces,Cue0Back,,4.0,0,34,34,34,,0,,110926,,,,110434,110434,110926,,,500,,,,,,,,,,,,,110926,113425,110926,113425,2500,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,17:24:02,Professional,0,2018-08-09_172402,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9383225917,1,
