ExperimentName,Subject,Session,Allowed,Clock.Information,ConsecNonResp[Session],ConsecRTLess200[Session],DataFile.Basename,ExperimentVersion,FontStyle,Group,Handedness,Main.RefreshRate,NARGUID,Nontarget,RunNumber,RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionTime,StimuliDir,StudioVersion,SUBID,Target,TotalRespGreater200[Session],TrialsPerRun[Session],triggercode,Block,BlockType,Cue2Back.Duration,Cue2Back.FinishTime,Cue2Back.OffsetTime,Cue2Back.OnsetTime,Cue2Back.StartTime,CueFix.Duration,CueFix.FinishTime,CueFix.OffsetTime,CueFix.OnsetTime,CueFix.StartTime,CueTarget.Duration,CueTarget.FinishTime,CueTarget.OffsetTime,CueTarget.OnsetTime,CueTarget.StartTime,Fix.Duration,Fix.FinishTime,Fix.OffsetTime,Fix.OnsetTime,Fix.StartTime,Fix15sec.Duration,Fix15sec.FinishTime,Fix15sec.OffsetTime,Fix15sec.OnsetTime,Fix15sec.StartTime,Stim.ACC,Stim.CRESP,Stim.Duration,Stim.FinishTime,Stim.OffsetTime,Stim.OnsetTime,Stim.RESP,Stim.RT,Stim.RTTime,Stim.StartTime,StimType,Stimulus,TargetType
Emo_Nback_20180527,1,MRI,"['1', 'num_1', 'left', '2', 'num_2', 'right']",0,0,0,Emo_Nback_20180527_v1-ABCD1234,1.0.0.1180,Verdana,1,Right,59.9883864952,ABCD1234,"['2', 'num_2', 'right']",1,Professional,2.0.10.356,2.0.10.356,06/25/2018,21:41:31,Stimuli/,2.0.10.252,0,1,0,160,"['5', '7', '^', 'num_5', 'num_7', '=']",1.0,Cue2Back,2500.0,51368.0,51368.0,48868.0,48868.0,500.0,48868.0,48868.0,48357.0,48357.0,,,,,,,,,,,,,,,,,,,,,,,0,,,Faces,,
Emo_Nback_20180527,1,MRI,"['1', 'num_1', 'left', '2', 'num_2', 'right']",0,0,0,Emo_Nback_20180527_v1-ABCD1234,1.0.0.1180,Verdana,1,Right,59.9883864952,ABCD1234,"['2', 'num_2', 'right']",1,Professional,2.0.10.356,2.0.10.356,06/25/2018,21:41:31,Stimuli/,2.0.10.252,0,1,0,160,"['5', '7', '^', 'num_5', 'num_7', '=']",1.0,2-Back,,,,,,,,,,,,,,,,500.0,53869.0,53869.0,53367.0,53367.0,,,,,,0.0,No Match,2000.0,53367.0,53367.0,51378.0,1.0,558,51937.0,51377.0,PosFace,23M_HO.bmp,nonlure
Emo_Nback_20180527,1,MRI,"['1', 'num_1', 'left', '2', 'num_2', 'right']",0,0,0,Emo_Nback_20180527_v1-ABCD1234,1.0.0.1180,Verdana,1,Right,59.9883864952,ABCD1234,"['2', 'num_2', 'right']",1,Professional,2.0.10.356,2.0.10.356,06/25/2018,21:41:31,Stimuli/,2.0.10.252,0,1,0,160,"['5', '7', '^', 'num_5', 'num_7', '=']",1.0,2-Back,,,,,,,,,,,,,,,,500.0,56368.0,56368.0,55867.0,55867.0,,,,,,1.0,No Match,2000.0,55867.0,55867.0,53875.0,2.0,579,54454.0,53874.0,PosFace,12F_HO.bmp,nonlure
Emo_Nback_20180527,1,MRI,"['1', 'num_1', 'left', '2', 'num_2', 'right']",0,0,0,Emo_Nback_20180527_v1-ABCD1234,1.0.0.1180,Verdana,1,Right,59.9883864952,ABCD1234,"['2', 'num_2', 'right']",1,Professional,2.0.10.356,2.0.10.356,06/25/2018,21:41:31,Stimuli/,2.0.10.252,0,1,0,160,"['5', '7', '^', 'num_5', 'num_7', '=']",1.0,2-Back,,,,,,,,,,,,,,,,500.0,58869.0,58869.0,58369.0,58368.0,,,,,,0.0,No Match,2000.0,58368.0,58368.0,56377.0,1.0,526,56904.0,56377.0,PosFace,AF02_HO.bmp,nonlure
Emo_Nback_20180527,1,MRI,"['1', 'num_1', 'left', '2', 'num_2', 'right']",0,0,0,Emo_Nback_20180527_v1-ABCD1234,1.0.0.1180,Verdana,1,Right,59.9883864952,ABCD1234,"['2', 'num_2', 'right']",1,Professional,2.0.10.356,2.0.10.356,06/25/2018,21:41:31,Stimuli/,2.0.10.252,0,1,0,160,"['5', '7', '^', 'num_5', 'num_7', '=']",1.0,2-Back,,,,,,,,,,,,,,,,500.0,61369.0,61369.0,60869.0,60869.0,,,,,,1.0,Match,2000.0,60869.0,60869.0,58875.0,1.0,377,59253.0,58875.0,PosFace,12F_HO.bmp,target
Emo_Nback_20180527,1,MRI,"['1', 'num_1', 'left', '2', 'num_2', 'right']",0,0,0,Emo_Nback_20180527_v1-ABCD1234,1.0.0.1180,Verdana,1,Right,59.9883864952,ABCD1234,"['2', 'num_2', 'right']",1,Professional,2.0.10.356,2.0.10.356,06/25/2018,21:41:31,Stimuli/,2.0.10.252,0,1,0,160,"['5', '7', '^', 'num_5', 'num_7', '=']",1.0,2-Back,,,,,,,,,,,,,,,,500.0,63869.0,63869.0,63369.0,63369.0,,,,,,0.0,No Match,2000.0,63369.0,63369.0,61375.0,1.0,362,61738.0,61375.0,PosFace,WM011_HO.bmp,nonlure
Emo_Nback_20180527,1,MRI,"['1', 'num_1', 'left', '2', 'num_2', 'right']",0,0,0,Emo_Nback_20180527_v1-ABCD1234,1.0.0.1180,Verdana,1,Right,59.9883864952,ABCD1234,"['2', 'num_2', 'right']",1,Professional,2.0.10.356,2.0.10.356,06/25/2018,21:41:31,Stimuli/,2.0.10.252,0,1,0,160,"['5', '7', '^', 'num_5', 'num_7', '=']",1.0,2-Back,,,,,,,,,,,,,,,,500.0,66370.0,66370.0,65870.0,65870.0,,,,,,0.0,No Match,2000.0,65870.0,65869.0,63879.0,1.0,377,64270.0,63878.0,PosFace,HM04_HO.bmp,nonlure
Emo_Nback_20180527,1,MRI,"['1', 'num_1', 'left', '2', 'num_2', 'right']",0,0,0,Emo_Nback_20180527_v1-ABCD1234,1.0.0.1180,Verdana,1,Right,59.9883864952,ABCD1234,"['2', 'num_2', 'right']",1,Professional,2.0.10.356,2.0.10.356,06/25/2018,21:41:31,Stimuli/,2.0.10.252,0,1,0,160,"['5', '7', '^', 'num_5', 'num_7', '=']",1.0,2-Back,,,,,,,,,,,,,,,,500.0,68870.0,68870.0,68370.0,68370.0,,,,,,0.0,No Match,2000.0,68370.0,68370.0,66376.0,1.0,162,66539.0,66375.0,PosFace,AF02_HO.bmp,lure
Emo_Nback_20180527,1,MRI,"['1', 'num_1', 'left', '2', 'num_2', 'right']",0,0,0,Emo_Nback_20180527_v1-ABCD1234,1.0.0.1180,Verdana,1,Right,59.9883864952,ABCD1234,"['2', 'num_2', 'right']",1,Professional,2.0.10.356,2.0.10.356,06/25/2018,21:41:31,Stimuli/,2.0.10.252,0,1,0,160,"['5', '7', '^', 'num_5', 'num_7', '=']",1.0,2-Back,,,,,,,,,,,,,,,,500.0,71354.0,71354.0,70854.0,70854.0,,,,,,0.0,No Match,2000.0,70854.0,70854.0,68876.0,1.0,45,68922.0,68875.0,PosFace,BF037_HO.bmp,nonlure
Emo_Nback_20180527,1,MRI,"['1', 'num_1', 'left', '2', 'num_2', 'right']",0,0,0,Emo_Nback_20180527_v1-ABCD1234,1.0.0.1180,Verdana,1,Right,59.9883864952,ABCD1234,"['2', 'num_2', 'right']",1,Professional,2.0.10.356,2.0.10.356,06/25/2018,21:41:31,Stimuli/,2.0.10.252,0,1,0,160,"['5', '7', '^', 'num_5', 'num_7', '=']",1.0,2-Back,,,,,,,,,,,,,,,,500.0,73854.0,73854.0,73354.0,73354.0,,,,,,0.0,No Match,2000.0,73354.0,73354.0,71358.0,,0,0.0,71358.0,PosFace,WM011_HO.bmp,lure
